eNodeB,Forecast Bias,R-sqr,MAE,RMSE,MAPE
TGSDR04,[7.86444052],-0.18323590721657235,19.760006740058262,27.7103092307845,6.185843941373015
LMPTG06,[16.19605567],-0.2952325546618879,20.827373545633826,32.61645747776963,7.500400568943346
RPSDR90,[-9.7013412],-0.18910128603633614,21.883231341726294,28.704014326276845,7.085989633844507
LMPTG03,[40.73556882],-2.2427550297440537,42.1670672492502,51.03334184601143,15.179584738273341
DPGRT01,[-26.16472564],-0.3860760960422187,48.40913547787917,62.62431399870692,9.161648148888698
RPMTH07,[53.09229506],-2.3161743289557313,54.03107065062942,64.18800067925493,19.815049105109722
PGSDR07,[-24.05434986],-0.2284892345351357,47.05205210674032,58.78605191735811,8.701510977121952
PGSDR14,[-31.17919877],-0.44823328132093,43.451522420878625,54.06191762016007,8.492733981533028
DPHKM07,[-0.87336138],-0.0838686740554786,18.22937429191312,24.00184520455772,12.340293098272246
NPSDR01,[30.08954309],-0.9898591493399904,42.80003722098413,55.38070701769809,13.800965279360474
GBGBD23,[-12.16312449],-0.13393130844831314,25.82621679189791,36.699530131555235,6.888262802398408
RPGNG07,[-4.98514223],0.009918142901477633,12.325901727886523,16.295507091564776,9.323055968969527
PGATR01,[-9.62144441],-0.4585882179710503,13.978003920174132,17.49185196556639,9.922195380797765
PGBDA06,[11.98809307],-0.6562956826804249,13.430595641151134,19.424546621205504,11.098050855098208
LMKLG09,[19.76577901],-0.17631155221418426,25.63320221316701,38.73519984489789,8.89437875644787
RPSDR48,[42.52286575],-2.0347351849651782,43.02736283883832,57.75513677180064,13.501403336455287
LMHTB01,[-64.94783348],-1.6035829712021914,77.58370793845522,86.26837235151798,14.539768925064516
GBGBD15,[-3.97756084],-0.027946634763888145,8.975919243975477,14.502578022069937,7.791485740031027
RPSDR26,[-9.80495576],0.023467109458002233,27.690303918010425,49.431904258275694,5.812723430024101
DPCRB18,[85.03977942],-10.947176853468578,85.03977941610476,93.2976169781738,31.54302167421172
RPSDR15,[-9.29473676],0.010864515470420555,20.861557400700857,29.89799735990066,6.3709020100773355
RPPGN04,[46.68421735],-5.266122122057504,46.68421735078311,51.807581795282196,20.95929134174289
RPPGN05,[-8.50062717],-0.17491963575949088,25.62641476319055,33.64761603654528,9.023102752580431
DPFLB02,[0.14679292],-0.2052976793133232,24.437084299842393,32.12023067258853,7.46801187653192
KGFLB05,[12.90525023],-0.8743372209522091,14.436587925808574,20.51784063922266,12.201885077169667
GBSDL07,[72.7649022],-13.979143752386156,72.76490219853376,77.76750366025604,30.533018533521734
DPCRB09,[-2.94857689],-0.243561882440527,12.535052318136993,16.288619192742086,8.500745521548913
RPPBT09,[23.20106769],-0.9565785672981677,25.813246523148333,35.289821812695344,10.725679850784637
DPSDR06,[28.96147485],-0.5143342013527983,54.44498305830226,84.6272920594184,12.286762881485497
NPSDP04,[24.94420836],-0.08399122286646654,38.306711542368674,56.867047304008025,8.243347903623672
GBSDL02,[39.67976526],-1.4872782091189087,43.45515725984805,52.964367719877195,16.617519307809737
RPPBT01,[-24.79624515],-0.18450217310219386,47.43028037640871,67.7770213979743,8.044934269747692
KGULP10,[34.26777008],-1.9969226685505896,35.70514675279806,46.038982745478634,14.786854186287748
KGNGS09,[-27.9014335],-0.785507777780452,36.50933248660687,42.08387027104224,13.451826391370917
GBSND21,[3.30999252],-0.059435936647321386,7.579478245110249,14.288115367327658,7.400703142356312
RPSDR82,[-2.96590066],0.002263568028433749,16.31409945213048,30.256523440006138,4.950611339678739
DPBRM01,[2.10078965],0.11619010773156413,30.212496572115658,45.74828316483277,6.656120337713357
GBGBD29,[-7.1212535],-0.34452578774388365,10.571279584260635,14.157826468071127,8.4566143715976
RPSDR95,[30.70046102],-2.9607929526420738,32.45752305141922,47.11186161326252,13.312764067070567
TGSDR05,[-35.71580293],-1.669395485793518,35.71580292883922,48.076877739463946,21.11035732522199
