RPSDR08,[427.07],[398.4],[472.78],[460.86],[456.24],[426.73],[431.55],[572.49],[484.61],[470.72],[497.06],[480.99],[480.61],[496.21],[498.37],[470.72],[484.0],[505.81],[509.76],[484.49],[484.75],[515.69],[498.82],[515.26],[482.02],[499.34],[487.03],[501.25],[486.42],[473.88],[481.67],[474.69],[479.0],[485.63],[493.65],[510.12],[497.92],[501.27],[501.76],[505.43],[531.72],[510.39],[480.5],[481.77],[480.1],[490.51],[484.91],[491.93],[484.97],[513.58],[495.88],[525.26],[536.48],[556.82],[542.31],[567.91],[567.57],[587.26],[589.45],[566.14],[558.89],[577.97],[567.32],[605.02],[617.29],[589.94],[533.81],[531.07],[527.3],[546.63],[556.33],[549.43],[555.81],[557.92],[546.72],[547.87],[544.95],[548.04],[540.85],[542.5],[534.14],[541.4],[512.7],[516.61],[507.84],[514.49],[536.01],[532.28],[532.8],[548.47],[564.81],[539.11],[532.72],[539.72],[556.01],[534.8],[521.98],[534.78],[532.55],[545.7],[541.51],[522.6],[486.01],[521.82],[522.27],[523.18],[547.4],[515.82],[528.95],[512.66],[515.16],[509.64],[501.89],[495.11],[532.55],[538.36],[512.54],[521.09],[521.13],[570.22],[561.65],[515.58],[541.27],[522.39],[528.71],[513.99],[523.11],[528.41],[536.27],[527.68],[538.59],[562.12],[545.38],[549.2],[561.82],[297.1]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.1736288221675,531.5124992716788,524.8199691581846,520.2520931172554,518.3500706667434,522.4418962103153,530.8848805657173,519.9997878951035,527.2754012466665,520.6314524895944,516.0952927796955,514.2037347072946,518.2580483093393,526.6285496959343,515.8259469680312,523.0383032216664,516.4429358210041,511.9384924421353,510.05739874777333,514.0742004083422,522.3722188261512,511.65210604095836,518.8012051966418,512.2544191524105,507.78169210452216,505.9110627882981,509.89035250731365,518.1158879563682,507.47826511388666,514.5641071716325
NPSDP16,[103.53],[110.62],[111.39],[136.76],[120.27],[103.75],[112.22],[143.11],[134.15],[128.72],[151.82],[130.78],[137.36],[136.63],[124.16],[127.87],[126.01],[140.24],[137.22],[135.29],[121.07],[123.55],[123.35],[118.19],[134.64],[114.48],[126.17],[125.46],[130.66],[125.59],[142.73],[139.08],[136.19],[142.63],[137.09],[131.17],[141.98],[127.89],[139.37],[145.56],[142.67],[129.29],[135.63],[131.49],[133.1],[132.85],[141.95],[133.63],[134.08],[144.96],[158.18],[158.02],[151.82],[149.92],[154.79],[153.0],[151.41],[154.84],[149.16],[151.29],[160.09],[152.54],[136.13],[144.46],[158.63],[146.15],[142.44],[144.55],[140.71],[134.74],[150.7],[147.81],[151.33],[150.47],[147.17],[155.51],[139.1],[152.03],[141.82],[138.18],[160.67],[149.98],[152.95],[141.49],[138.55],[141.37],[157.32],[153.66],[158.01],[149.36],[158.11],[154.21],[143.96],[141.44],[146.67],[143.01],[141.08],[142.41],[136.03],[154.04],[140.51],[157.79],[135.34],[130.35],[125.51],[139.33],[126.65],[120.79],[148.47],[127.62],[136.37],[136.25],[140.84],[135.13],[145.63],[154.18],[134.47],[130.5],[140.12],[145.48],[143.87],[144.64],[163.2],[139.73],[145.13],[146.6],[149.7],[135.96],[162.16],[136.6],[136.81],[148.01],[155.36],[149.1],[169.33],[94.66]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.40781013462563,143.3038531960848,150.89397803186736,145.68935279569635,144.3264096486485,138.9239361171858,142.58309015754193,144.67589306127033,142.58200742571543,150.13335217463916,144.95443317008608,143.59784026228232,138.22213267194024,141.86228153901908,143.94397598791542,141.86016165535733,149.372726317411,144.21951354447594,142.8692708759597,137.5203292267106,141.14147292049623,143.21205891454449,141.13831588497672,148.61210046016706,143.48459391887317,142.14070148960448,136.8185257814764,140.42066430197346,142.48014184120552,140.4164701146085
NPSDP05,[171.06],[162.02],[175.59],[175.44],[168.61],[169.02],[158.59],[184.85],[168.02],[154.87],[174.18],[163.01],[165.22],[168.02],[174.91],[179.63],[165.11],[180.52],[172.37],[167.96],[157.63],[170.98],[171.36],[168.83],[162.74],[155.66],[173.97],[174.13],[172.86],[167.18],[167.13],[164.86],[161.64],[168.16],[162.49],[160.9],[157.57],[151.43],[156.33],[158.85],[164.82],[156.22],[159.2],[152.53],[153.51],[139.28],[166.13],[158.86],[164.12],[186.34],[178.18],[173.38],[184.34],[179.11],[178.73],[179.09],[167.29],[161.83],[164.63],[154.1],[180.48],[284.91],[266.71],[272.78],[296.03],[261.43],[266.41],[273.2],[276.82],[287.03],[298.15],[283.19],[264.92],[308.02],[275.3],[280.22],[271.15],[260.02],[296.93],[278.01],[320.29],[290.64],[281.23],[291.54],[261.02],[288.74],[299.0],[313.7],[301.65],[300.94],[302.42],[296.25],[282.28],[298.05],[363.24],[297.53],[308.32],[275.61],[293.34],[293.08],[295.23],[327.96],[283.35],[283.39],[283.18],[293.13],[279.93],[277.25],[314.49],[291.23],[273.62],[286.13],[275.44],[275.0],[252.38],[342.66],[284.49],[261.78],[278.67],[302.73],[285.78],[291.13],[329.63],[290.96],[294.66],[253.05],[282.35],[276.16],[345.62],[289.85],[297.44],[290.7],[301.54],[281.23],[294.4],[208.58]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.8799036181833,327.465235512329,354.5188008844562,332.3406767263116,345.1571541218544,338.04443493850454,342.8263051536952,350.77176453665123,343.9136801016218,372.1992660448376,348.7978309828997,362.12890618241744,354.5505009889911,359.44990386822633,367.6636254551252,360.3621246909566,389.87973120521906,365.2549852394852,379.10065824310374,371.05656703955145,376.0735025827556,384.5554863735301,376.8105692802067,407.5601963655886,381.7121394961274,396.07241030372137,387.56263309010177,392.697101297283,401.44734729207795,393.2590138695047
RPSDR65,[469.36],[453.89],[525.56],[537.6],[495.22],[517.44],[477.01],[620.59],[510.33],[537.04],[562.19],[531.82],[523.81],[536.49],[533.51],[490.01],[543.19],[550.55],[551.31],[523.3],[536.11],[546.62],[528.05],[537.45],[558.57],[527.53],[544.22],[534.41],[546.74],[532.8],[563.47],[586.44],[565.17],[582.87],[535.57],[576.31],[594.49],[543.87],[546.45],[518.06],[518.38],[524.18],[519.54],[500.71],[507.05],[535.9],[552.85],[496.81],[496.9],[509.94],[571.14],[555.71],[587.3],[578.0],[587.98],[598.17],[604.13],[626.69],[598.52],[617.56],[580.95],[604.44],[588.18],[608.81],[670.15],[622.39],[568.6],[536.45],[563.82],[582.79],[575.25],[547.75],[579.97],[588.2],[603.65],[600.92],[564.49],[577.8],[527.08],[499.67],[503.72],[494.43],[498.76],[512.39],[474.63],[499.15],[518.71],[518.03],[511.59],[517.96],[535.47],[491.59],[513.08],[530.38],[535.53],[514.05],[538.96],[512.31],[516.54],[543.04],[540.69],[579.82],[502.35],[517.58],[513.17],[520.85],[535.26],[505.33],[547.12],[511.49],[504.19],[530.15],[495.59],[520.22],[526.19],[556.71],[544.92],[529.96],[543.49],[554.87],[537.8],[529.56],[557.38],[534.95],[542.69],[507.33],[544.47],[525.92],[585.55],[551.36],[568.38],[561.26],[545.8],[557.39],[589.71],[325.07]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.4749826159984,510.4045752089958,519.5350870142377,499.0654267542226,502.220623813072,495.4503854521203,501.7549821855743,496.3959738349432,500.21840805204585,509.13705697013086,489.0484384987746,492.1113190645347,485.44859910586365,491.5966276759854,486.31696505389937,490.0322408951312,498.73902692602394,479.03145024332673,482.0020143160104,475.44681275963075,481.4382731663968,476.2379562728168,479.8460737381459,488.34099688190616,469.0144619878601,471.892709567481,465.4450264133791,471.27991865680866,466.15894749181,469.6599065811947
PGTTL03,[296.38],[317.22],[334.32],[330.08],[340.07],[322.88],[328.41],[453.42],[364.41],[359.83],[343.94],[341.79],[356.79],[370.4],[358.57],[353.93],[347.04],[373.37],[350.02],[368.99],[328.73],[360.12],[354.98],[388.18],[379.5],[359.98],[395.51],[389.09],[374.62],[362.48],[370.53],[354.36],[398.13],[404.9],[389.56],[388.88],[377.11],[378.97],[371.79],[376.3],[417.97],[382.28],[388.95],[345.35],[337.62],[363.4],[372.69],[351.05],[351.6],[365.42],[377.06],[407.74],[417.39],[365.5],[401.27],[404.25],[379.91],[387.29],[362.49],[414.98],[363.43],[413.23],[389.91],[421.77],[455.02],[420.06],[367.79],[370.13],[375.49],[409.49],[413.91],[381.6],[388.32],[382.86],[379.72],[378.18],[403.85],[393.93],[366.93],[377.18],[377.8],[368.77],[393.27],[398.4],[403.58],[394.64],[378.05],[411.66],[393.59],[383.41],[407.13],[406.88],[394.59],[386.26],[418.22],[398.48],[391.73],[404.24],[386.63],[411.98],[328.18],[391.42],[252.71],[389.19],[399.63],[387.26],[379.17],[389.53],[395.54],[367.65],[374.41],[367.88],[396.42],[362.24],[380.6],[395.69],[369.22],[373.32],[373.35],[430.43],[407.81],[396.59],[409.36],[401.62],[386.65],[412.7],[397.94],[382.96],[435.55],[388.69],[404.01],[425.94],[411.18],[401.49],[427.19],[232.49]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.8811057629278,381.53877936038606,390.5571981564129,371.3552076687499,392.57829824401784,393.28235052920974,397.2535955554736,387.6203825475516,381.2822946568116,390.29462571700685,371.10552078788805,392.31431630736364,393.0178697592996,396.9864184716292,387.3596593321549,381.0258099532803,390.03205327760077,370.8558339070261,392.05033437069653,392.7533889894302,396.71924138778473,387.09893611670543,380.76932524966264,389.76948083819315,370.60614702616016,391.7863524340638,392.4889082195349,396.45206430394035,386.83821290136143,380.5128405461256
