eNodeB,Forecast Bias,R-sqr,MAE,RMSE,MAPE
TGSDR04,35.1526231344541,-1.920028979415351,35.1526231344541,43.53106403333588,10.91814062859934
LMPTG06,44.01973644016188,-2.4138226762620842,44.01973644016188,52.952125032849565,14.985933130232187
RPSDR90,-17.339308369318633,-0.5232244491995526,26.314445183118178,32.48741563295146,8.355971157244955
LMPTG03,-91.34223321902753,-10.534686138966025,91.34223321902753,96.24979839302216,30.65465875947603
DPGRT01,44.954911885440346,-0.7412839567680123,53.334827426095806,70.19145483150523,10.867852174450617
RPMTH07,-32.002597717920914,-1.0292367902145285,36.82489379080134,50.21130810659596,11.702468445721737
PGSDR07,-22.06014514732363,-0.1304340887295692,44.61796331318221,56.39118735315652,8.289828551207922
PGSDR14,-9.576294254759906,-0.02997257632070993,26.505289785246028,45.591619071285486,5.568494414682491
DPHKM07,-2.3203753147920048,0.04458546813536257,16.781525916020072,22.534722768956396,11.566863473035708
NPSDR01,-28.35109773033856,-0.5868734534365008,38.10418038513262,49.45594163551676,10.90836071342352
GBGBD23,14.88854018417995,-1.2232735982781966,44.687834219455716,51.38822133773152,12.011798259717455
RPGNG07,3.07992928798994,0.07605584888209327,9.866688692490253,15.741828938433583,8.035866644144123
PGATR01,-6.890291594743723,-0.46144435741750334,12.896808145284648,17.508969454506207,9.631360163890017
PGBDA06,10.750101086457565,-0.5720696311487667,12.2665337515672,18.924213764626682,10.291506170124736
LMKLG09,62.78074813365938,-3.132784152302757,62.78074813365938,72.60490836311865,20.45212237093278
RPSDR48,-28.20979512023929,-0.6848540756488184,38.566218286037476,43.033965077229205,11.18715107907088
LMHTB01,-35.171749407509964,-0.4627199913223392,55.512437286436565,64.66160667283671,10.88925560765015
GBGBD15,-3.350566708842919,-0.062346214004172396,8.596170903205879,14.743240949502246,7.615572363136041
RPSDR26,-19.068727737784375,-0.10507877416029077,34.73763681701818,52.584835785697074,6.9078803787577625
DPCRB18,-42.69057866715391,-2.528805520783821,46.50829771901169,50.70511439908559,16.179067301652584
RPSDR15,15.489242428759734,-0.2180986735052579,25.371633156677085,33.1784003472467,8.14769961281426
RPPGN04,19.262494789759323,-0.9797895499514908,22.73420202815533,29.12080711624387,10.506355077353781
RPPGN05,-26.499680662373688,-0.7471895337427277,35.769953248520686,41.031767787052885,11.906933791797925
DPFLB02,7.223452500184389,-0.21339313351325373,23.19998242787521,32.22791888013977,7.2591833505295345
KGFLB05,-0.8959778131842602,0.020915297386748355,9.81881749208768,14.82920674799943,8.112221239435117
GBSDL07,2.1371139003833313,-0.006536925340647981,12.662197802662847,20.159024835959947,5.630989741613326
DPCRB09,-0.7109278216361976,-0.049412434170482245,11.42178728087743,14.963172140710746,7.891798208005876
RPPBT09,-2.611727399508163,-0.036362028737742635,17.04175842444102,25.68363952093893,6.903906355256026
DPSDR06,-60.50843501698968,-0.689556355112197,81.31917243202528,89.38937895259303,15.491182582434321
NPSDP04,18.811199514865848,-0.05415258131902578,39.91369034290313,56.07890622623273,8.347995696424002
GBSDL02,-53.48166342035932,-2.6444956549895315,55.06004308923089,64.11214805047747,18.402570921352293
RPPBT01,-85.01608505560957,-2.156878005897008,95.19892030737797,110.64796927708429,14.943344244580464
KGULP10,-27.54403373785814,-1.1193241102424363,31.79015644081434,38.71565758739993,11.763170928449602
KGNGS09,-15.44099803789455,-0.3094269063613111,29.48187100720405,36.03922393152163,11.443519934444538
GBSND21,3.778754711548485,-0.10321923142564104,7.5400717890262605,14.580368823111577,7.426908989536256
RPSDR82,-3.0017376933892326,0.07524979232315965,16.283367850701,29.128849277161383,4.900504517427664
DPBRM01,59.852461821615655,-1.492336016583502,61.031557034552065,76.82430998076373,13.203852453294962
GBGBD29,-9.199227827191345,-0.6599597816315792,12.685882625937456,15.731161862413318,10.003136558743897
RPSDR95,-69.60771666028103,-8.584654461129547,72.12629366006453,73.28708123633749,26.083617585348644
TGSDR05,-18.691778429587693,-0.2711431701260827,20.596178275108343,33.176229665144625,11.495170251367144
