eNodeB,Group,Distance
GBFLC03,0,526.1601664688815
GBFLC04,0,580.8541454763968
GBGBD01,2,1491.4595495693977
GBGBD02,0,607.5023551307484
GBGBD03,1,286.32645552556613
GBGBD04,0,461.41185952845524
GBGBD06,1,207.76377747315166
GBGBD08,3,536.1606115539407
GBGBD12,1,178.2119179189341
GBGBD13,1,197.80437149085805
GBGBD14,1,280.11153534379554
GBGBD15,1,152.9433687507075
GBGBD16,1,212.7463717414011
GBGBD17,1,306.2584029683702
GBGBD18,1,347.99467570542674
GBGBD19,1,259.1050510161234
GBGBD20,1,335.16649923979367
GBGBD21,1,97.99358221538235
GBGBD22,1,220.65311681485176
GBGBD23,3,298.1482537957887
GBGBD24,0,218.61484084204804
GBGBD25,1,756.7771486495536
GBGBD29,1,119.61909999509989
GBGBD31,1,1165.3384278761323
GBPLS02,1,207.89400213672343
GBPLS03,1,462.9940818184764
GBPLS05,0,274.72876273688894
GBPLS06,1,158.26697650201444
GBPLS08,1,345.018005368331
GBPLS10,1,210.8413668840215
GBPLS12,0,376.865249738537
GBPLS14,0,809.6188718656222
GBPLS15,0,642.2926899882136
GBSDL01,0,763.7609031250659
GBSDL02,0,340.377034403983
GBSDL06,0,533.9670619316946
GBSDL07,0,378.65515376307786
GBSDL09,1,468.04552761258464
GBSDL11,0,903.2288087431834
GBSDR02,1,207.2143114192944
GBSDR03,3,1017.9117164583372
GBSDR04,0,462.26979175469074
GBSDR05,0,873.1617777125139
GBSDR06,1,541.6042036504845
GBSDR07,0,440.91702590895756
GBSDR08,1,532.0411526786586
GBSDR09,1,190.71641318808082
GBSDR11,1,345.6581553388634
GBSDR13,0,665.1086662961014
GBSDR14,3,816.5827273871412
GBSDR16,2,531.3959564260201
GBSDR17,3,778.0462009219751
GBSDR20,0,851.89078922012
GBSDR25,1,439.03467868668537
GBSDR26,1,432.90850110925186
GBSDR27,1,622.0396981519523
GBSDR28,1,286.81493873861575
GBSGT01,2,756.2470377033713
GBSGT02,3,628.7929870902065
GBSGT03,0,768.7592851042447
GBSGT05,1,266.8606256267744
GBSGT06,1,567.0856050397028
GBSND01,2,986.390952657754
GBSND02,1,283.4837201337954
GBSND04,2,772.6471316935231
GBSND06,1,184.77347200870202
GBSND11,0,445.5853827840991
GBSND12,0,465.67184877466354
